flow_form_id,flow_question_group,flow_question_label,flow_question_id,mis_form_id,mis_question_group,mis_question_label,mis_question_id
17260923,Activated Sludge System,Take photo of Activated Sludge System,11470925,1748905550055,Activated Sludge System,Take photo of Activated Sludge System,1748915652986
17260923,Activated Sludge System,Comment on the operation of the Activated Sludge System,19230923,1748905550055,Activated Sludge System,Comment on the operation of the Activated Sludge System,1748915642008
17260923,Anaerobic Lagoons,Take photo of anaerobic lagoon,12500923,1748905550055,Anaerobic Lagoons,Take photo of anaerobic lagoon,1748916203269
17260923,Anaerobic Lagoons,Comment on the Anaerobic lagoons,14500932,1748905550055,Anaerobic Lagoons,Comment on the Anaerobic lagoons,1748906938999
17260923,Constraints and Recommendations,Do you have any work related constraints?,12470933,1748905550055;1748918946591,Constraints and Recommendations,Do you have any work related constraints?;24. Do you have any work related constraints?,1748918417541;1748919341459
17260923,Constraints and Recommendations,Please provide details for constraints,13480932,1748905550055;1748918946591,Constraints and Recommendations,Please provide details for constraints,1748907223535;1748919922789
17260923,Constraints and Recommendations,What are the final recommendations from the DWS staff  on the overall operations and remedial actions for the plant?,14490927,1748905550055;1748918946591,Constraints and Recommendations,What are the final recommendations from the DWS staff on the overall operations and remedial actions for the plant?;What are the final recommendations from the DWS staff  on the overall operations and remedial actions for the plant?,1748918679466;1748920085643
17260923,Constraints and Recommendations,Signature of DWS Staff,14540922,1748905550055;1748918946591,Constraints and Recommendations,Signature of DWS Staff,1748918835968;1748920135334
17260923,Constraints and Recommendations,Any final recommendation?,19180933,1748905550055;1748918946591,Constraints and Recommendations,Any final recommendation?,1748918485299;1748919962161
17260923,Constraints and Recommendations,What are your final recommendations?,19200932,1748905550055;1748918946591,Constraints and Recommendations,What are your final recommendations?,1748918550536;1748919992109
17260923,Drying Beds,Comment on the drying beds,14500935,1748905550055,Drying Beds,Comment on the drying beds,1748907173282
17260923,Drying Beds,Take photo of drying beds,15520929,1748905550055,Drying Beds,Take photo of drying beds,1748917423214
17260923,Effluent Pumping,Take photo of the effluent pump station?,29480925,1748905550055,Effluent Pumping,Take photo of the effluent pump station,1748917597057
17260923,Effluent Pumping,Are there any effluent pump station?,30120923,1748905550055,Effluent Pumping,Are there any effluent pump station?,1748907188132
17260923,Effluent Pumping,Are you able to take photo of effluent pump station?,30120924,1748905550055,Effluent Pumping,Are you able to take photo of effluent pump station?,1748917546718
17260923,Effluent Pumping,Comment on the effluent pump station?,30150921,1748905550055,Effluent Pumping,Comment on the effluent pump station?,1748917496536
17260923,Facultative Ponds,Comment on the operation of the facultative pond,27750920,1748905550055,Facultative Ponds,Comment on the operation of the facultative pond,1748907016509
17260923,Facultative Ponds,Take photo of Facultative Pond,30120920,1748905550055,Facultative Ponds,Take photo of Facultative Pond,1748916324372
17260923,Flow Indicators,Describe the inflow at the inlet?,11430929,1748905550055,Flow Indicators,Describe the inflow at the inlet?,1748911325583
17260923,Flow Indicators,Take photo of the inlet,12490921,1748905550055,Flow Indicators,Take photo of the inlet,1748911562813
17260923,Flow Indicators,What is the inflow rate in cubic meters per day?,13480930,1748905550055,Flow Indicators,What is the inflow rate in cubic meters per day?,1748911325349
17260923,Flow Indicators,Is there a inflow meter?,17280930,1748905550055,Flow Indicators,Is there a inflow meter?,1748906535935
17260923,General Information on Plant Conditions,Do you have urgent maintenance programs?,10530930,1748905550055,Plant Conditions,Do you have urgent maintenance programs?,1748910860630
17260923,General Information on Plant Conditions,Ground Conditions,10540926,1748905550055,Plant Conditions,Ground Conditions,1748906497862
17260923,General Information on Plant Conditions,Condition of fence for security purpose,11430927,1748905550055,Plant Conditions,Condition of fence for security purpose,1748910613027
17260923,General Information on Plant Conditions,Working tools?,12460931,1748905550055,Plant Conditions,Working tools?,1748910770584
17260923,General Information on Plant Conditions,Please provide details of these programs?,12460934,1748905550055,Plant Conditions,Please provide details of these programs?,1748910928304
17260923,General Information on Plant Conditions,Take photo,12470927,1748905550055;1748918946591,Plant Conditions;Plant Influent and Effluent;Photos of Inspection,Take photo;Take Photo,1748910544723;1748910599569;1748910629413;1748919559845;1748920178902
17260923,General Information on Plant Conditions,Take photo,13470925,1748905550055;1748918946591,Plant Conditions;Plant Influent and Effluent;Photos of Inspection,Take photo;Take Photo,1748910544723;1748910599569;1748910629413;1748919559845;1748920178902
17260923,General Information on Plant Conditions,Transport availability,13470926,1748905550055,Plant Conditions,Transport availability,1748910727099
17260923,General Information on Plant Conditions,Take photo,14460928,1748905550055;1748918946591,Plant Conditions;Plant Influent and Effluent;Photos of Inspection,Take photo;Take Photo,1748910544723;1748910599569;1748910629413;1748919559845;1748920178902
17260923,General Information on Plant Conditions,Security lights,15490927,1748905550055,Plant Conditions,Security lights,1748910637040
17260923,General Information on Plant Conditions,Building Conditions,15510925,1748905550055,Plant Conditions,Building Conditions,1748910573525
17260923,General Information on Plant Conditions,Do you have any upgrading programs?,17270934,1748905550055,Plant Conditions,Do you have any upgrading programs?,1748911109721
17260923,General Information on Plant Conditions,Do you have planned preventative maintenance programs?,17280926,1748905550055,Plant Conditions,Do you have planned preventative maintenance programs?,1748910968346
17260923,General Information on Plant Conditions,Please provide details of these programs?,17280928,1748905550055,Plant Conditions,Please provide details of these programs?,1748910928304
17260923,General Information on Plant Conditions,Please provide details of these programs?,17290928,1748905550055,Plant Conditions,Please provide details of these programs?,1748910928304
17260923,General Information on Plant Conditions,OHS equipment available?,19180929,1748905550055,Plant Conditions,OHS equipment available?,1748910823255
17260923,Influent Pumping,Are you able to take photo of the Influent Pump Station?,16570945,1748905550055,Influent Pumping,Are you able to take photo of the Influent Pump Station?,1748914939216
17260923,Influent Pumping,Comment on the influent pumping system,18150922,1748905550055,Influent Pumping,Comment on the influent pumping system,1748914793745
17260923,Influent Pumping,Take photo of the influent pumping station,19240926,1748905550055,Influent Pumping,Take photo of the influent pumping station,1748914980064
17260923,Influent Pumping,Are there any influent pump station?,21890959,1748905550055,Influent Pumping,Are there any influent pump station?,1748906592858
17260923,Maturation Pond,Comment on the operation of the Maturation Pond,27740971,1748905550055,Maturation Pond,Comment on the operation of the Maturation Pond,1748916372852
17260923,Maturation Pond,Take Photo of the Maturation pond,27740972,1748905550055,Maturation Pond,Take photo of the Maturation Pond,1748916377930
17260923,Plant Effluent,Take photo of effluent sampling point,18140931,1748905550055,Plant Effluent,Take photo of effluent sampling point,1748917775963
17260923,Plant Effluent,Comment on the plant effluent,19250925,1748905550055,Plant Effluent,Comment on the plant effluent,1748907201859
17260923,Plant Effluent,Method of Testing for plant effluent,23260920,1748905550055,Plant Effluent,Method of Testing for plant effluent,1748917751258
17260923,Plant Effluent,What is the BOD in mg/L?,26220920,1748905550055,Plant Effluent,Comment on the plant effluent;Please specify other plant effluent description;Are you able to take the sample?;Method of Testing for plant effluent;Take photo of effluent sampling point;Which parameters were you able to analyse?;Temperature °C - 2550B (APHA Method Code);pH - 4500-H+B (APHA Method Code);Conductivity µS/cm - 2510B (APHA Method Code);Salinity PPT 2520B 0.2 (APHA Method Code);Total Dissolved Solids mg/L - 2540C (APHA Method Code);Total Suspended Solids mg/L - 2540D (APHA Method Code);Total Solids mg/L - 2540B (APHA Method Code);Settleable Solids mls - 2540F (APHA Method Code);Ammonia mg/L - 4500-NH3 H (APHA Method Code);Total Kjeldhal Nitrogen mg/L - 4500-NorgB (APHA Method Code);Nitrate mg/L - 4500-NO-3- I (APHA Method Code);Nitrite mg/L - 4500-NO-3- I (APHA Method Code);Total Phosphorus mg/L - 4500-P E (APHA Method Code);Chemical Oxygen Demand mg/L - 5220B (APHA Method Code);Dissolved Oxygen mg/L - 4500-O-C (APHA Method Code);Total Alkalinity mg/L - 2320B (APHA Method Code);Chloride mg/L - 4500-Cl-C (APHA Method Code);Oil & Grease mg/L - 5520D (APHA Method Code);Total Sulphides mg/L - 4500-S2-F (APHA Method Code);BOD mg/L - 5210B (APHA Method Code),1748907201859;1748917735244;1748917751257;1748917751258;1748917775963;1748917792041;1754995400101;1754995400102;1754995400103;1754995400104;1754995400301;1754995400302;1754995400303;1754995400304;1754995400501;1754995400502;1754995400503;1754995400504;1754995400505;1754995400701;1754995400702;1754995400703;1754995400704;1754995400705;1754995400706;1754995400901
17260923,Plant Effluent,What is the Nitrate level in mg/L?,283670995,1748905550055,Plant Effluent,Comment on the plant effluent;Please specify other plant effluent description;Are you able to take the sample?;Method of Testing for plant effluent;Take photo of effluent sampling point;Which parameters were you able to analyse?;Temperature °C - 2550B (APHA Method Code);pH - 4500-H+B (APHA Method Code);Conductivity µS/cm - 2510B (APHA Method Code);Salinity PPT 2520B 0.2 (APHA Method Code);Total Dissolved Solids mg/L - 2540C (APHA Method Code);Total Suspended Solids mg/L - 2540D (APHA Method Code);Total Solids mg/L - 2540B (APHA Method Code);Settleable Solids mls - 2540F (APHA Method Code);Ammonia mg/L - 4500-NH3 H (APHA Method Code);Total Kjeldhal Nitrogen mg/L - 4500-NorgB (APHA Method Code);Nitrate mg/L - 4500-NO-3- I (APHA Method Code);Nitrite mg/L - 4500-NO-3- I (APHA Method Code);Total Phosphorus mg/L - 4500-P E (APHA Method Code);Chemical Oxygen Demand mg/L - 5220B (APHA Method Code);Dissolved Oxygen mg/L - 4500-O-C (APHA Method Code);Total Alkalinity mg/L - 2320B (APHA Method Code);Chloride mg/L - 4500-Cl-C (APHA Method Code);Oil & Grease mg/L - 5520D (APHA Method Code);Total Sulphides mg/L - 4500-S2-F (APHA Method Code);BOD mg/L - 5210B (APHA Method Code),1748907201859;1748917735244;1748917751257;1748917751258;1748917775963;1748917792041;1754995400101;1754995400102;1754995400103;1754995400104;1754995400301;1754995400302;1754995400303;1754995400304;1754995400501;1754995400502;1754995400503;1754995400504;1754995400505;1754995400701;1754995400702;1754995400703;1754995400704;1754995400705;1754995400706;1754995400901
17260923,Plant Effluent,What is the Total Phosphorus in mg/L?,283680996,1748905550055,Plant Effluent,Comment on the plant effluent;Please specify other plant effluent description;Are you able to take the sample?;Method of Testing for plant effluent;Take photo of effluent sampling point;Which parameters were you able to analyse?;Temperature °C - 2550B (APHA Method Code);pH - 4500-H+B (APHA Method Code);Conductivity µS/cm - 2510B (APHA Method Code);Salinity PPT 2520B 0.2 (APHA Method Code);Total Dissolved Solids mg/L - 2540C (APHA Method Code);Total Suspended Solids mg/L - 2540D (APHA Method Code);Total Solids mg/L - 2540B (APHA Method Code);Settleable Solids mls - 2540F (APHA Method Code);Ammonia mg/L - 4500-NH3 H (APHA Method Code);Total Kjeldhal Nitrogen mg/L - 4500-NorgB (APHA Method Code);Nitrate mg/L - 4500-NO-3- I (APHA Method Code);Nitrite mg/L - 4500-NO-3- I (APHA Method Code);Total Phosphorus mg/L - 4500-P E (APHA Method Code);Chemical Oxygen Demand mg/L - 5220B (APHA Method Code);Dissolved Oxygen mg/L - 4500-O-C (APHA Method Code);Total Alkalinity mg/L - 2320B (APHA Method Code);Chloride mg/L - 4500-Cl-C (APHA Method Code);Oil & Grease mg/L - 5520D (APHA Method Code);Total Sulphides mg/L - 4500-S2-F (APHA Method Code);BOD mg/L - 5210B (APHA Method Code),1748907201859;1748917735244;1748917751257;1748917751258;1748917775963;1748917792041;1754995400101;1754995400102;1754995400103;1754995400104;1754995400301;1754995400302;1754995400303;1754995400304;1754995400501;1754995400502;1754995400503;1754995400504;1754995400505;1754995400701;1754995400702;1754995400703;1754995400704;1754995400705;1754995400706;1754995400901
17260923,Plant Effluent,Are you able to take the sample?,28590921,1748905550055,Plant Effluent,Are you able to take the sample?,1748917751257
17260923,Plant Effluent,What is the TSS in mg/L?,291250987,1748905550055,Plant Effluent,Comment on the plant effluent;Please specify other plant effluent description;Are you able to take the sample?;Method of Testing for plant effluent;Take photo of effluent sampling point;Which parameters were you able to analyse?;Temperature °C - 2550B (APHA Method Code);pH - 4500-H+B (APHA Method Code);Conductivity µS/cm - 2510B (APHA Method Code);Salinity PPT 2520B 0.2 (APHA Method Code);Total Dissolved Solids mg/L - 2540C (APHA Method Code);Total Suspended Solids mg/L - 2540D (APHA Method Code);Total Solids mg/L - 2540B (APHA Method Code);Settleable Solids mls - 2540F (APHA Method Code);Ammonia mg/L - 4500-NH3 H (APHA Method Code);Total Kjeldhal Nitrogen mg/L - 4500-NorgB (APHA Method Code);Nitrate mg/L - 4500-NO-3- I (APHA Method Code);Nitrite mg/L - 4500-NO-3- I (APHA Method Code);Total Phosphorus mg/L - 4500-P E (APHA Method Code);Chemical Oxygen Demand mg/L - 5220B (APHA Method Code);Dissolved Oxygen mg/L - 4500-O-C (APHA Method Code);Total Alkalinity mg/L - 2320B (APHA Method Code);Chloride mg/L - 4500-Cl-C (APHA Method Code);Oil & Grease mg/L - 5520D (APHA Method Code);Total Sulphides mg/L - 4500-S2-F (APHA Method Code);BOD mg/L - 5210B (APHA Method Code),1748907201859;1748917735244;1748917751257;1748917751258;1748917775963;1748917792041;1754995400101;1754995400102;1754995400103;1754995400104;1754995400301;1754995400302;1754995400303;1754995400304;1754995400501;1754995400502;1754995400503;1754995400504;1754995400505;1754995400701;1754995400702;1754995400703;1754995400704;1754995400705;1754995400706;1754995400901
17260923,Plant Effluent,What is the Ammonia level in mg/L?,291250988,1748905550055,Plant Effluent,Comment on the plant effluent;Please specify other plant effluent description;Are you able to take the sample?;Method of Testing for plant effluent;Take photo of effluent sampling point;Which parameters were you able to analyse?;Temperature °C - 2550B (APHA Method Code);pH - 4500-H+B (APHA Method Code);Conductivity µS/cm - 2510B (APHA Method Code);Salinity PPT 2520B 0.2 (APHA Method Code);Total Dissolved Solids mg/L - 2540C (APHA Method Code);Total Suspended Solids mg/L - 2540D (APHA Method Code);Total Solids mg/L - 2540B (APHA Method Code);Settleable Solids mls - 2540F (APHA Method Code);Ammonia mg/L - 4500-NH3 H (APHA Method Code);Total Kjeldhal Nitrogen mg/L - 4500-NorgB (APHA Method Code);Nitrate mg/L - 4500-NO-3- I (APHA Method Code);Nitrite mg/L - 4500-NO-3- I (APHA Method Code);Total Phosphorus mg/L - 4500-P E (APHA Method Code);Chemical Oxygen Demand mg/L - 5220B (APHA Method Code);Dissolved Oxygen mg/L - 4500-O-C (APHA Method Code);Total Alkalinity mg/L - 2320B (APHA Method Code);Chloride mg/L - 4500-Cl-C (APHA Method Code);Oil & Grease mg/L - 5520D (APHA Method Code);Total Sulphides mg/L - 4500-S2-F (APHA Method Code);BOD mg/L - 5210B (APHA Method Code),1748907201859;1748917735244;1748917751257;1748917751258;1748917775963;1748917792041;1754995400101;1754995400102;1754995400103;1754995400104;1754995400301;1754995400302;1754995400303;1754995400304;1754995400501;1754995400502;1754995400503;1754995400504;1754995400505;1754995400701;1754995400702;1754995400703;1754995400704;1754995400705;1754995400706;1754995400901
17260923,Plant Effluent,What is the Total Alkalinity in mg/L?,291260997,1748905550055,Plant Effluent,Comment on the plant effluent;Please specify other plant effluent description;Are you able to take the sample?;Method of Testing for plant effluent;Take photo of effluent sampling point;Which parameters were you able to analyse?;Temperature °C - 2550B (APHA Method Code);pH - 4500-H+B (APHA Method Code);Conductivity µS/cm - 2510B (APHA Method Code);Salinity PPT 2520B 0.2 (APHA Method Code);Total Dissolved Solids mg/L - 2540C (APHA Method Code);Total Suspended Solids mg/L - 2540D (APHA Method Code);Total Solids mg/L - 2540B (APHA Method Code);Settleable Solids mls - 2540F (APHA Method Code);Ammonia mg/L - 4500-NH3 H (APHA Method Code);Total Kjeldhal Nitrogen mg/L - 4500-NorgB (APHA Method Code);Nitrate mg/L - 4500-NO-3- I (APHA Method Code);Nitrite mg/L - 4500-NO-3- I (APHA Method Code);Total Phosphorus mg/L - 4500-P E (APHA Method Code);Chemical Oxygen Demand mg/L - 5220B (APHA Method Code);Dissolved Oxygen mg/L - 4500-O-C (APHA Method Code);Total Alkalinity mg/L - 2320B (APHA Method Code);Chloride mg/L - 4500-Cl-C (APHA Method Code);Oil & Grease mg/L - 5520D (APHA Method Code);Total Sulphides mg/L - 4500-S2-F (APHA Method Code);BOD mg/L - 5210B (APHA Method Code),1748907201859;1748917735244;1748917751257;1748917751258;1748917775963;1748917792041;1754995400101;1754995400102;1754995400103;1754995400104;1754995400301;1754995400302;1754995400303;1754995400304;1754995400501;1754995400502;1754995400503;1754995400504;1754995400505;1754995400701;1754995400702;1754995400703;1754995400704;1754995400705;1754995400706;1754995400901
